Node	Leafs	Name	
122	GAGA-0382	Carebara trechideros	
123	GAGA-0579	Carebara melasolena	
124	GAGA-0331	Carebara sp. s2	
125	GAGA-0378	Carebara altinodus	
126	GAGA-0578	Carebara cf. capreola	
127	GAGA-0533	Carebara sp. s1	
128	GAGA-0520	Melissotarsus emeryi	
129	GAGA-0333	Tetramorium bicarinatum	
130	GAGA-0553	Tetramorium cf. nipponense	
131	GAGA-0527	Tetramorium atratulum	
132	GAGA-0085	Tetramorium caespitum	
133	GAGA-0405	Tetramorium polymorphum	
134	GAGA-0515	Cardiocondyla obscurior	
135	GAGA-0245	Monomorium pharaonis	
136	GAGA-0454	Solenopsis fugax	
137	NCBI-0002	Solenopsis invicta	
138	GAGA-0346	Megalomyrmex milenae	
139	GAGA-0080	Pheidole pallidula	
140	GAGA-0376	Pheidole capellinii	
141	GAGA-0530	Pheidole yeensis	
142	GAGA-0384	Pheidole selathorax	
143	GAGA-0358	Pheidole nodus	
144	NCBI-0014	Wasmannia auropunctata	
145	GAGA-0554	Strumigenys mutica	
146	GAGA-0229	Cephalotes minutus	
147	GAGA-0540	Myrmicocrypta squomosa uncinata	
148	GAGA-0543	Kalathomyrmex emeryi	
149	GAGA-0541	Mycetosoritis hartmanni	
150	NCBI-0006	Cyphomyrmex costatus	
151	GAGA-0539	Mycetophylax morschi	
152	GAGA-0538	Sericomyrmex mayri	
153	GAGA-0550	Xerolitor explicatus	
154	NCBI-0015	Mycetomoellerius zeteki	
155	NCBI-0017	Paratrachymyrmex cornetzi	
156	NCBI-0016	Trachymyrmex septentrionalis	
157	NCBI-0003	Atta cephalotes	
158	NCBI-0004	Atta colombica	
159	GAGA-0014	Acromyrmex echinatior	
160	GAGA-0220	Acromyrmex octospinosus	
161	GAGA-0002	Acromyrmex subterraneus	
162	GAGA-0001	Acromyrmex ameliae	
163	GAGA-0003	Acromyrmex lobicornis	
164	GAGA-0392 GAGA-0025 GAGA-0352 GAGA-0380 GAGA-0387 GAGA-0386 GAGA-0408 GAGA-0074 NCBI-0011 GAGA-0353 GAGA-0301 GAGA-0246 GAGA-0303 NCBI-0009 GAGA-0307 GAGA-0063 NCBI-0007 GAGA-0083 GAGA-0351 GAGA-0266 GAGA-0300 GAGA-0090 GAGA-0389 GAGA-0537 GAGA-0580 GAGA-0535 GAGA-0391 GAGA-0404 GAGA-0536 GAGA-0552 GAGA-0379 NCBI-0001 GAGA-0577 GAGA-0534 GAGA-0302 GAGA-0363 NCBI-0010 GAGA-0337 GAGA-0340 GAGA-0528 GAGA-0343 GAGA-0365 GAGA-0517 GAGA-0521 GAGA-0522 GAGA-0020 GAGA-0024 GAGA-0177 GAGA-0532 GAGA-0364 GAGA-0491 GAGA-0524 GAGA-0366 GAGA-0026 GAGA-0198 GAGA-0275 GAGA-0332 GAGA-0341 GAGA-0055 GAGA-0406 GAGA-0304 GAGA-0334 GAGA-0494 GAGA-0354 GAGA-0350 GAGA-0359 GAGA-0485 NCBI-0008 GAGA-0495 OUT-0001 OUT-0002 GAGA-0502 GAGA-0200 GAGA-0221 GAGA-0361 GAGA-0362 NCBI-0005 GAGA-0396 GAGA-0374 GAGA-0360 GAGA-0336 GAGA-0187 GAGA-0338 GAGA-0199 GAGA-0234 GAGA-0306 GAGA-0028 GAGA-0087 GAGA-0401 GAGA-0114 NCBI-0012 GAGA-0004 GAGA-0413 GAGA-0084 GAGA-0356 GAGA-0531 GAGA-0503 GAGA-0505 GAGA-0109 GAGA-0082 GAGA-0103 GAGA-0256 GAGA-0098 GAGA-0099 GAGA-0463 GAGA-0222 GAGA-0223 GAGA-0512 GAGA-0513 GAGA-0224 GAGA-0511 GAGA-0288 GAGA-0510 GAGA-0407 GAGA-0165 NCBI-0013 GAGA-0330 GAGA-0393 GAGA-0395 GAGA-0335 GAGA-0328 GAGA-0382 GAGA-0579 GAGA-0331 GAGA-0378 GAGA-0578 GAGA-0533 GAGA-0520 GAGA-0333 GAGA-0553 GAGA-0527 GAGA-0085 GAGA-0405 GAGA-0515 GAGA-0245 GAGA-0454 NCBI-0002 GAGA-0346 GAGA-0080 GAGA-0376 GAGA-0530 GAGA-0384 GAGA-0358 NCBI-0014 GAGA-0554 GAGA-0229 GAGA-0540 GAGA-0543 GAGA-0541 NCBI-0006 GAGA-0539 GAGA-0538 GAGA-0550 NCBI-0015 NCBI-0017 NCBI-0016 NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003	Root	
165	GAGA-0025 GAGA-0352 GAGA-0380 GAGA-0387 GAGA-0386 GAGA-0408 GAGA-0074 NCBI-0011 GAGA-0353 GAGA-0301 GAGA-0246 GAGA-0303 NCBI-0009 GAGA-0307 GAGA-0063 NCBI-0007 GAGA-0083 GAGA-0351 GAGA-0266 GAGA-0300 GAGA-0090 GAGA-0389 GAGA-0537 GAGA-0580 GAGA-0535 GAGA-0391 GAGA-0404 GAGA-0536 GAGA-0552 GAGA-0379 NCBI-0001 GAGA-0577 GAGA-0534 GAGA-0302 GAGA-0363 NCBI-0010 GAGA-0337 GAGA-0340 GAGA-0528 GAGA-0343 GAGA-0365 GAGA-0517 GAGA-0521 GAGA-0522 GAGA-0020 GAGA-0024 GAGA-0177 GAGA-0532 GAGA-0364 GAGA-0491 GAGA-0524 GAGA-0366 GAGA-0026 GAGA-0198 GAGA-0275 GAGA-0332 GAGA-0341 GAGA-0055 GAGA-0406 GAGA-0304 GAGA-0334 GAGA-0494 GAGA-0354 GAGA-0350 GAGA-0359 GAGA-0485 NCBI-0008 GAGA-0495 OUT-0001 OUT-0002 GAGA-0502 GAGA-0200 GAGA-0221 GAGA-0361 GAGA-0362 NCBI-0005 GAGA-0396 GAGA-0374 GAGA-0360 GAGA-0336 GAGA-0187 GAGA-0338 GAGA-0199 GAGA-0234 GAGA-0306 GAGA-0028 GAGA-0087 GAGA-0401 GAGA-0114 NCBI-0012 GAGA-0004 GAGA-0413 GAGA-0084 GAGA-0356 GAGA-0531 GAGA-0503 GAGA-0505 GAGA-0109 GAGA-0082 GAGA-0103 GAGA-0256 GAGA-0098 GAGA-0099 GAGA-0463 GAGA-0222 GAGA-0223 GAGA-0512 GAGA-0513 GAGA-0224 GAGA-0511 GAGA-0288 GAGA-0510 GAGA-0407 GAGA-0165 NCBI-0013 GAGA-0330 GAGA-0393 GAGA-0395 GAGA-0335 GAGA-0328 GAGA-0382 GAGA-0579 GAGA-0331 GAGA-0378 GAGA-0578 GAGA-0533 GAGA-0520 GAGA-0333 GAGA-0553 GAGA-0527 GAGA-0085 GAGA-0405 GAGA-0515 GAGA-0245 GAGA-0454 NCBI-0002 GAGA-0346 GAGA-0080 GAGA-0376 GAGA-0530 GAGA-0384 GAGA-0358 NCBI-0014 GAGA-0554 GAGA-0229 GAGA-0540 GAGA-0543 GAGA-0541 NCBI-0006 GAGA-0539 GAGA-0538 GAGA-0550 NCBI-0015 NCBI-0017 NCBI-0016 NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003	Formicidae noLept	
166	GAGA-0025 GAGA-0352 GAGA-0380 GAGA-0387 GAGA-0386 GAGA-0408 GAGA-0074 NCBI-0011 GAGA-0353 GAGA-0301 GAGA-0246 GAGA-0303 NCBI-0009 GAGA-0307 GAGA-0063 NCBI-0007 GAGA-0083 GAGA-0351 GAGA-0266 GAGA-0300 GAGA-0090 GAGA-0389 GAGA-0537 GAGA-0580 GAGA-0535 GAGA-0391 GAGA-0404 GAGA-0536 GAGA-0552	Poneroids	
167	GAGA-0025 GAGA-0352 GAGA-0380 GAGA-0387 GAGA-0386 GAGA-0408 GAGA-0074 NCBI-0011 GAGA-0353 GAGA-0301 GAGA-0246 GAGA-0303 NCBI-0009 GAGA-0307 GAGA-0063 NCBI-0007 GAGA-0083 GAGA-0351 GAGA-0266 GAGA-0300 GAGA-0090	Ponerinae	
168	GAGA-0025 GAGA-0352 GAGA-0380 GAGA-0387 GAGA-0386 GAGA-0408 GAGA-0074 NCBI-0011 GAGA-0353 GAGA-0301 GAGA-0246 GAGA-0303 NCBI-0009 GAGA-0307 GAGA-0063 NCBI-0007 GAGA-0083 GAGA-0351 GAGA-0266 GAGA-0300		
169	GAGA-0025 GAGA-0352 GAGA-0380 GAGA-0387 GAGA-0386 GAGA-0408 GAGA-0074 NCBI-0011 GAGA-0353 GAGA-0301 GAGA-0246 GAGA-0303 NCBI-0009 GAGA-0307		
170	GAGA-0025 GAGA-0352 GAGA-0380 GAGA-0387 GAGA-0386 GAGA-0408 GAGA-0074 NCBI-0011 GAGA-0353 GAGA-0301 GAGA-0246		
171	GAGA-0025 GAGA-0352 GAGA-0380 GAGA-0387 GAGA-0386 GAGA-0408		
172	GAGA-0025 GAGA-0352 GAGA-0380 GAGA-0387		
173	GAGA-0352 GAGA-0380 GAGA-0387		
174	GAGA-0352 GAGA-0380		
175	GAGA-0386 GAGA-0408		
176	GAGA-0074 NCBI-0011 GAGA-0353 GAGA-0301 GAGA-0246		
177	GAGA-0074 NCBI-0011 GAGA-0353 GAGA-0301		
178	GAGA-0074 NCBI-0011 GAGA-0353		
179	GAGA-0074 NCBI-0011		
180	GAGA-0303 NCBI-0009 GAGA-0307		
181	GAGA-0303 NCBI-0009		
182	GAGA-0063 NCBI-0007 GAGA-0083 GAGA-0351 GAGA-0266 GAGA-0300		
183	GAGA-0063 NCBI-0007		
184	GAGA-0083 GAGA-0351 GAGA-0266 GAGA-0300		
185	GAGA-0083 GAGA-0351		
186	GAGA-0266 GAGA-0300		
187	GAGA-0389 GAGA-0537 GAGA-0580 GAGA-0535 GAGA-0391 GAGA-0404 GAGA-0536 GAGA-0552		
188	GAGA-0389 GAGA-0537 GAGA-0580 GAGA-0535	Proceratiinae	
189	GAGA-0389 GAGA-0537 GAGA-0580		
190	GAGA-0389 GAGA-0537		
191	GAGA-0391 GAGA-0404 GAGA-0536 GAGA-0552		
192	GAGA-0391 GAGA-0404 GAGA-0536		
193	GAGA-0391 GAGA-0404		
194	GAGA-0379 NCBI-0001 GAGA-0577 GAGA-0534 GAGA-0302 GAGA-0363 NCBI-0010 GAGA-0337 GAGA-0340 GAGA-0528 GAGA-0343 GAGA-0365 GAGA-0517 GAGA-0521 GAGA-0522 GAGA-0020 GAGA-0024 GAGA-0177 GAGA-0532 GAGA-0364 GAGA-0491 GAGA-0524 GAGA-0366 GAGA-0026 GAGA-0198 GAGA-0275 GAGA-0332 GAGA-0341 GAGA-0055 GAGA-0406 GAGA-0304 GAGA-0334 GAGA-0494 GAGA-0354 GAGA-0350 GAGA-0359 GAGA-0485 NCBI-0008 GAGA-0495 OUT-0001 OUT-0002 GAGA-0502 GAGA-0200 GAGA-0221 GAGA-0361 GAGA-0362 NCBI-0005 GAGA-0396 GAGA-0374 GAGA-0360 GAGA-0336 GAGA-0187 GAGA-0338 GAGA-0199 GAGA-0234 GAGA-0306 GAGA-0028 GAGA-0087 GAGA-0401 GAGA-0114 NCBI-0012 GAGA-0004 GAGA-0413 GAGA-0084 GAGA-0356 GAGA-0531 GAGA-0503 GAGA-0505 GAGA-0109 GAGA-0082 GAGA-0103 GAGA-0256 GAGA-0098 GAGA-0099 GAGA-0463 GAGA-0222 GAGA-0223 GAGA-0512 GAGA-0513 GAGA-0224 GAGA-0511 GAGA-0288 GAGA-0510 GAGA-0407 GAGA-0165 NCBI-0013 GAGA-0330 GAGA-0393 GAGA-0395 GAGA-0335 GAGA-0328 GAGA-0382 GAGA-0579 GAGA-0331 GAGA-0378 GAGA-0578 GAGA-0533 GAGA-0520 GAGA-0333 GAGA-0553 GAGA-0527 GAGA-0085 GAGA-0405 GAGA-0515 GAGA-0245 GAGA-0454 NCBI-0002 GAGA-0346 GAGA-0080 GAGA-0376 GAGA-0530 GAGA-0384 GAGA-0358 NCBI-0014 GAGA-0554 GAGA-0229 GAGA-0540 GAGA-0543 GAGA-0541 NCBI-0006 GAGA-0539 GAGA-0538 GAGA-0550 NCBI-0015 NCBI-0017 NCBI-0016 NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003	Formicoids	
195	GAGA-0379 NCBI-0001 GAGA-0577 GAGA-0534	Dorylinae	
196	GAGA-0379 NCBI-0001 GAGA-0577		
197	GAGA-0379 NCBI-0001		
198	GAGA-0302 GAGA-0363 NCBI-0010 GAGA-0337 GAGA-0340 GAGA-0528 GAGA-0343 GAGA-0365 GAGA-0517 GAGA-0521 GAGA-0522 GAGA-0020 GAGA-0024 GAGA-0177 GAGA-0532 GAGA-0364 GAGA-0491 GAGA-0524 GAGA-0366 GAGA-0026 GAGA-0198 GAGA-0275 GAGA-0332 GAGA-0341 GAGA-0055 GAGA-0406 GAGA-0304 GAGA-0334 GAGA-0494 GAGA-0354 GAGA-0350 GAGA-0359 GAGA-0485 NCBI-0008 GAGA-0495 OUT-0001 OUT-0002 GAGA-0502 GAGA-0200 GAGA-0221 GAGA-0361 GAGA-0362 NCBI-0005 GAGA-0396 GAGA-0374 GAGA-0360 GAGA-0336 GAGA-0187 GAGA-0338 GAGA-0199 GAGA-0234 GAGA-0306 GAGA-0028 GAGA-0087 GAGA-0401 GAGA-0114 NCBI-0012 GAGA-0004 GAGA-0413 GAGA-0084 GAGA-0356 GAGA-0531 GAGA-0503 GAGA-0505 GAGA-0109 GAGA-0082 GAGA-0103 GAGA-0256 GAGA-0098 GAGA-0099 GAGA-0463 GAGA-0222 GAGA-0223 GAGA-0512 GAGA-0513 GAGA-0224 GAGA-0511 GAGA-0288 GAGA-0510 GAGA-0407 GAGA-0165 NCBI-0013 GAGA-0330 GAGA-0393 GAGA-0395 GAGA-0335 GAGA-0328 GAGA-0382 GAGA-0579 GAGA-0331 GAGA-0378 GAGA-0578 GAGA-0533 GAGA-0520 GAGA-0333 GAGA-0553 GAGA-0527 GAGA-0085 GAGA-0405 GAGA-0515 GAGA-0245 GAGA-0454 NCBI-0002 GAGA-0346 GAGA-0080 GAGA-0376 GAGA-0530 GAGA-0384 GAGA-0358 NCBI-0014 GAGA-0554 GAGA-0229 GAGA-0540 GAGA-0543 GAGA-0541 NCBI-0006 GAGA-0539 GAGA-0538 GAGA-0550 NCBI-0015 NCBI-0017 NCBI-0016 NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003	Formicoids no dorylinae	
199	GAGA-0302 GAGA-0363 NCBI-0010 GAGA-0337 GAGA-0340 GAGA-0528 GAGA-0343 GAGA-0365 GAGA-0517 GAGA-0521 GAGA-0522	Three subfam Pseudo-myr-doli	
200	GAGA-0302 GAGA-0363 NCBI-0010 GAGA-0337 GAGA-0340 GAGA-0528	Dolichoderinae	
201	GAGA-0302 GAGA-0363 NCBI-0010		
202	GAGA-0302 GAGA-0363		
203	GAGA-0337 GAGA-0340 GAGA-0528		
204	GAGA-0337 GAGA-0340		
205	GAGA-0343 GAGA-0365 GAGA-0517 GAGA-0521 GAGA-0522		
206	GAGA-0343 GAGA-0365	Pseudomyrmecinae	
207	GAGA-0517 GAGA-0521 GAGA-0522	Myrmeciinae	
208	GAGA-0521 GAGA-0522		
209	GAGA-0020 GAGA-0024 GAGA-0177 GAGA-0532 GAGA-0364 GAGA-0491 GAGA-0524 GAGA-0366 GAGA-0026 GAGA-0198 GAGA-0275 GAGA-0332 GAGA-0341 GAGA-0055 GAGA-0406 GAGA-0304 GAGA-0334 GAGA-0494 GAGA-0354 GAGA-0350 GAGA-0359 GAGA-0485 NCBI-0008 GAGA-0495 OUT-0001 OUT-0002 GAGA-0502 GAGA-0200 GAGA-0221 GAGA-0361 GAGA-0362 NCBI-0005 GAGA-0396 GAGA-0374 GAGA-0360 GAGA-0336 GAGA-0187 GAGA-0338 GAGA-0199 GAGA-0234 GAGA-0306 GAGA-0028 GAGA-0087 GAGA-0401 GAGA-0114 NCBI-0012 GAGA-0004 GAGA-0413 GAGA-0084 GAGA-0356 GAGA-0531 GAGA-0503 GAGA-0505 GAGA-0109 GAGA-0082 GAGA-0103 GAGA-0256 GAGA-0098 GAGA-0099 GAGA-0463 GAGA-0222 GAGA-0223 GAGA-0512 GAGA-0513 GAGA-0224 GAGA-0511 GAGA-0288 GAGA-0510 GAGA-0407 GAGA-0165 NCBI-0013 GAGA-0330 GAGA-0393 GAGA-0395 GAGA-0335 GAGA-0328 GAGA-0382 GAGA-0579 GAGA-0331 GAGA-0378 GAGA-0578 GAGA-0533 GAGA-0520 GAGA-0333 GAGA-0553 GAGA-0527 GAGA-0085 GAGA-0405 GAGA-0515 GAGA-0245 GAGA-0454 NCBI-0002 GAGA-0346 GAGA-0080 GAGA-0376 GAGA-0530 GAGA-0384 GAGA-0358 NCBI-0014 GAGA-0554 GAGA-0229 GAGA-0540 GAGA-0543 GAGA-0541 NCBI-0006 GAGA-0539 GAGA-0538 GAGA-0550 NCBI-0015 NCBI-0017 NCBI-0016 NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003	Three subfam Form-myrm-ect	
210	GAGA-0020 GAGA-0024 GAGA-0177 GAGA-0532 GAGA-0364 GAGA-0491 GAGA-0524 GAGA-0366 GAGA-0026 GAGA-0198 GAGA-0275 GAGA-0332 GAGA-0341 GAGA-0055 GAGA-0406 GAGA-0304 GAGA-0334 GAGA-0494 GAGA-0354 GAGA-0350 GAGA-0359 GAGA-0485 NCBI-0008 GAGA-0495 OUT-0001 OUT-0002 GAGA-0502 GAGA-0200 GAGA-0221 GAGA-0361 GAGA-0362 NCBI-0005 GAGA-0396 GAGA-0374 GAGA-0360 GAGA-0336 GAGA-0187 GAGA-0338 GAGA-0199		Formicinae
211	GAGA-0020 GAGA-0024 GAGA-0177 GAGA-0532 GAGA-0364 GAGA-0491 GAGA-0524 GAGA-0366 GAGA-0026 GAGA-0198 GAGA-0275 GAGA-0332 GAGA-0341		
212	GAGA-0020 GAGA-0024 GAGA-0177 GAGA-0532 GAGA-0364 GAGA-0491 GAGA-0524 GAGA-0366 GAGA-0026		
213	GAGA-0020 GAGA-0024 GAGA-0177 GAGA-0532 GAGA-0364 GAGA-0491 GAGA-0524 GAGA-0366		
214	GAGA-0020 GAGA-0024		
215	GAGA-0177 GAGA-0532 GAGA-0364 GAGA-0491 GAGA-0524 GAGA-0366		
216	GAGA-0177 GAGA-0532 GAGA-0364 GAGA-0491 GAGA-0524		
217	GAGA-0177 GAGA-0532		
218	GAGA-0364 GAGA-0491 GAGA-0524		
219	GAGA-0491 GAGA-0524		
220	GAGA-0198 GAGA-0275 GAGA-0332 GAGA-0341		
221	GAGA-0198 GAGA-0275 GAGA-0332		
222	GAGA-0198 GAGA-0275		
223	GAGA-0055 GAGA-0406 GAGA-0304 GAGA-0334 GAGA-0494 GAGA-0354 GAGA-0350 GAGA-0359 GAGA-0485 NCBI-0008 GAGA-0495 OUT-0001 OUT-0002 GAGA-0502 GAGA-0200 GAGA-0221 GAGA-0361 GAGA-0362 NCBI-0005 GAGA-0396 GAGA-0374 GAGA-0360 GAGA-0336 GAGA-0187 GAGA-0338 GAGA-0199		
224	GAGA-0055 GAGA-0406 GAGA-0304 GAGA-0334 GAGA-0494 GAGA-0354 GAGA-0350 GAGA-0359 GAGA-0485 NCBI-0008 GAGA-0495 OUT-0001 OUT-0002 GAGA-0502 GAGA-0200 GAGA-0221 GAGA-0361 GAGA-0362 NCBI-0005 GAGA-0396 GAGA-0374 GAGA-0360 GAGA-0336		
225	GAGA-0055 GAGA-0406 GAGA-0304 GAGA-0334 GAGA-0494 GAGA-0354 GAGA-0350 GAGA-0359 GAGA-0485 NCBI-0008 GAGA-0495 OUT-0001 OUT-0002 GAGA-0502		
226	GAGA-0055 GAGA-0406		
227	GAGA-0304 GAGA-0334 GAGA-0494 GAGA-0354 GAGA-0350 GAGA-0359 GAGA-0485 NCBI-0008 GAGA-0495 OUT-0001 OUT-0002 GAGA-0502		
228	GAGA-0304 GAGA-0334 GAGA-0494 GAGA-0354		
229	GAGA-0334 GAGA-0494 GAGA-0354		
230	GAGA-0334 GAGA-0494		
231	GAGA-0350 GAGA-0359 GAGA-0485 NCBI-0008 GAGA-0495 OUT-0001 OUT-0002 GAGA-0502		
232	GAGA-0350 GAGA-0359 GAGA-0485 NCBI-0008 GAGA-0495 OUT-0001 OUT-0002		
233	GAGA-0350 GAGA-0359		
234	GAGA-0485 NCBI-0008 GAGA-0495 OUT-0001 OUT-0002		
235	GAGA-0485 NCBI-0008		
236	GAGA-0495 OUT-0001 OUT-0002		
237	OUT-0001 OUT-0002		
238	GAGA-0200 GAGA-0221 GAGA-0361 GAGA-0362 NCBI-0005 GAGA-0396 GAGA-0374 GAGA-0360 GAGA-0336		
239	GAGA-0200 GAGA-0221 GAGA-0361 GAGA-0362 NCBI-0005 GAGA-0396 GAGA-0374 GAGA-0360		
240	GAGA-0200 GAGA-0221 GAGA-0361 GAGA-0362 NCBI-0005 GAGA-0396 GAGA-0374		
241	GAGA-0200 GAGA-0221 GAGA-0361 GAGA-0362 NCBI-0005 GAGA-0396		
242	GAGA-0221 GAGA-0361 GAGA-0362 NCBI-0005 GAGA-0396		
243	GAGA-0221 GAGA-0361 GAGA-0362 NCBI-0005		
244	GAGA-0221 GAGA-0361 GAGA-0362		
245	GAGA-0221 GAGA-0361		
246	GAGA-0187 GAGA-0338 GAGA-0199		
247	GAGA-0187 GAGA-0338		
