TaxonName	Subfamily	Tribe	Genus	Subgenus	GenusAuthority	Author	Year	OriginalTypeSpecies	CurrentTypeSpecies	SpeciesCount	Images	Source
Cyatta	Myrmicinae	Attini	Cyatta		Sosa-Calvo, Schultz, Brando, Klingenberg, Feitosa, Rabeling, Bacci, Lopes, Heraldo & Vasconcelos, 2013	Sosa-Calvo, Schultz, Brando, Klingenberg, Feitosa, Rabeling, Bacci, Lopes, Heraldo & Vasconcelos	2013	Cyatta abscondita		1	Present	https://www.antwiki.org/wiki/Cyatta
Cylindromyrmex	Dorylinae		Cylindromyrmex		Mayr, 1870	Mayr	1870	Cylindromyrmex striatus		10	Present	https://www.antwiki.org/wiki/Cylindromyrmex
Cyphoidris	Myrmicinae	Crematogastrini	Cyphoidris		Weber, 1952	Weber	1952	Cyphoidris spinosa		4	Present	https://www.antwiki.org/wiki/Cyphoidris
Cyphomyrmex	Myrmicinae	Attini	Cyphomyrmex		Mayr, 1862	Mayr	1862	Cyphomyrmex minutus		23	Present	https://www.antwiki.org/wiki/Cyphomyrmex
Cyrtomyrma	Formicinae	Camponotini	Polyrhachis	Cyrtomyrma	Forel, 1915	Forel	1915	Formica rastellata	Polyrhachis rastellata	77	Present	https://www.antwiki.org/wiki/Cyrtomyrma
Dacatria	Myrmicinae	Crematogastrini	Dacatria		Rigato, 1994	Rigato	1994	Dacatria templaris		1	Present	https://www.antwiki.org/wiki/Dacatria
Dacetinops	Myrmicinae	Crematogastrini	Dacetinops		Brown & Wilson, 1957	Brown & Wilson	1957	Dacetinops cibdelus		7	Present	https://www.antwiki.org/wiki/Dacetinops
Daceton	Myrmicinae	Attini	Daceton		Perty, 1833	Perty	1833	Formica armigera	Daceton armigerum	2	Present	https://www.antwiki.org/wiki/Daceton
Dendrolasius	Formicinae	Lasiini	Lasius	Dendrolasius	Ruzsky, 1912	Ruzsky	1912	Formica fuliginosa	Lasius fuliginosus		Present	https://www.antwiki.org/wiki/Dendrolasius
Dendromyrmex	Formicinae	Camponotini	Camponotus	Dendromyrmex	Emery, 1895	Emery	1895	Formica chartifex	Camponotus chartifex		Present	https://www.antwiki.org/wiki/Dendromyrmex
Diacamma	Ponerinae	Ponerini	Diacamma		Mayr, 1862	Mayr	1862	Ponera rugosa		67	Present	https://www.antwiki.org/wiki/Diacamma
